gen_name,embryonic stem cell,not applicable
ENSG00000000003,95.79119714918617,94.06722527207936
ENSG00000000005,38.582297987094286,41.78946354618126
ENSG00000000419,93.06077241644996,92.4973514398536
ENSG00000000457,54.41105653472022,56.29394202061061
ENSG00000000460,51.93585668881826,46.43648271212559
ENSG00000000938,12.867186747568141,26.22074544929211
ENSG00000000971,65.18828854858903,70.35538861600693
ENSG00000001036,86.85351054608495,85.23066551093133
ENSG00000001084,50.5537898487913,52.109216989309445
ENSG00000001167,51.56024270442069,55.26822690937109
ENSG00000001460,55.40787826254454,58.71135509968217
ENSG00000001461,54.83482615814312,52.706346913223534
ENSG00000001497,80.41028604449582,76.58672830588462
ENSG00000001561,44.64509294038332,52.62929789078301
ENSG00000001617,35.6207261870365,42.67552730424733
ENSG00000001626,14.49484734662429,9.101415775787345
ENSG00000001629,71.48223056919966,74.30415101608399
ENSG00000001630,82.37503611672928,81.10854281036309
ENSG00000001631,81.07001829914283,84.2482904748146
ENSG00000002016,41.736492343253396,47.21660406433593
ENSG00000002330,93.93720504671097,91.96763941057498
ENSG00000002549,84.15679476066647,84.089376866031
ENSG00000002586,97.85707406337282,95.29519406722528
ENSG00000002587,45.91640181065203,37.956274679765
ENSG00000002726,36.67051911778869,39.506886256380625
ENSG00000002745,25.91254935953,8.451314648945392
ENSG00000002746,22.402003274583453,20.721371472599444
ENSG00000002822,56.47693344890686,51.35317345661177
ENSG00000002834,71.14514109602234,72.45979004141385
ENSG00000002919,55.884619088895306,55.393431570836945
ENSG00000002933,87.14244438023692,70.4516998940576
ENSG00000003056,87.54213618414717,84.64798227872484
ENSG00000003096,90.69151497640374,67.23008764326302
ENSG00000003137,41.153809111046904,49.61957045169989
ENSG00000003147,41.50052971202928,53.64538187421747
ENSG00000003249,43.82163151305018,35.77000866801502
ENSG00000003393,57.28113262062987,54.24251179813157
ENSG00000003400,34.97544062409708,46.686892035057305
ENSG00000003402,73.34103823557739,87.69141866512568
ENSG00000003436,77.56910334200134,89.64653760955407
ENSG00000003509,69.95088124819416,68.31840508523548
ENSG00000003756,89.18905903881344,91.0815756525089
ENSG00000003987,22.13714725994414,23.418087258017913
ENSG00000003989,39.17942791100838,48.63237985168063
