gen_name,astrocyte,neuron,olfactory projection neuron,"olfactory projection neuron innervating DA1, VA1d or DC3 glomerulus",olfactory projection neuron innervating VM2 glomerulus,olfactory projection neuron innvervating DC2 glomerulus
FBgn0000008,74.51727642276423,0.0,46.12127371273713,50.84688346883469,34.07012195121951,0.0
FBgn0000014,0.0,0.0,2.4220867208672088,10.687669376693767,0.0,0.0
FBgn0000015,0.0,0.0,27.49830623306233,32.15616531165312,32.85060975609756,0.0
FBgn0000017,79.70020325203252,98.55182926829268,91.33638211382113,89.49017615176152,81.51253387533876,96.48543360433605
FBgn0000018,0.0,0.0,43.335027100271,45.53692411924119,48.365514905149055,57.24932249322493
FBgn0000024,99.68665311653116,77.67615176151762,95.02032520325203,96.75643631436314,72.59485094850947,95.69783197831978
FBgn0000028,0.0,64.45630081300813,86.37364498644986,74.63584010840108,90.04065040650406,94.33434959349594
FBgn0000032,83.02845528455285,0.0,62.25440379403794,63.77032520325203,63.143631436314365,33.765243902439025
FBgn0000036,64.52405149051489,92.04776422764228,76.49051490514906,82.98611111111111,52.98102981029811,50.44037940379403
FBgn0000037,0.0,80.0220189701897,89.27845528455285,88.39769647696477,80.77574525745257,93.51287262872629
FBgn0000038,86.02642276422763,96.68868563685636,98.0860433604336,99.39871273712737,96.72256097560977,99.4410569105691
FBgn0000039,82.61348238482384,89.76117886178862,95.57079945799458,98.59417344173443,88.58401084010839,82.38482384823848
FBgn0000042,99.8899051490515,99.96612466124661,99.97459349593495,99.94918699186992,99.98306233062331,99.96612466124661
FBgn0000043,83.10467479674797,99.84756097560977,99.92378048780488,99.8221544715447,99.92378048780488,99.90684281842819
FBgn0000044,67.03082655826557,46.53624661246612,25.381097560975608,16.463414634146343,36.0010162601626,33.02845528455284
FBgn0000045,66.53963414634147,0.0,32.02913279132791,28.362127371273715,32.71510840108401,32.706639566395665
FBgn0000046,66.0060975609756,47.91666666666667,28.650067750677504,14.168360433604335,38.89735772357724,33.824525745257446
FBgn0000047,66.25169376693766,46.65481029810298,10.128726287262872,10.408197831978319,33.6890243902439,32.61348238482385
FBgn0000052,0.0,55.767276422764226,43.385840108401084,38.80420054200542,0.0,0.0
FBgn0000053,90.90447154471545,0.0,31.60569105691057,22.815040650406505,0.0,32.672764227642276
FBgn0000055,63.23678861788618,0.0,73.22154471544715,48.45867208672087,0.0,44.41056910569105
FBgn0000056,0.0,0.0,32.58807588075881,23.458672086720867,0.0,32.93529810298103
