gen_name,macrophage
ENSMUSG00000000001,73.88359630842513
ENSMUSG00000000028,1.473652872878833
ENSMUSG00000000056,40.25751711818994
ENSMUSG00000000058,39.53557606430485
ENSMUSG00000000078,97.127121167014
ENSMUSG00000000085,54.88240547782078
ENSMUSG00000000088,97.17177731467699
ENSMUSG00000000127,40.9199166418577
ENSMUSG00000000131,73.98779398630545
ENSMUSG00000000134,86.87853527835665
ENSMUSG00000000142,12.70467401012206
ENSMUSG00000000148,32.271509377791006
ENSMUSG00000000149,80.11312890741293
ENSMUSG00000000154,9.489431378386424
ENSMUSG00000000159,19.805001488538252
ENSMUSG00000000168,53.81810062518607
ENSMUSG00000000171,88.04703780887169
ENSMUSG00000000184,95.12503721345638
ENSMUSG00000000194,93.73325394462638
ENSMUSG00000000244,90.66686513843406
ENSMUSG00000000253,16.24739505805299
ENSMUSG00000000266,5.1503423637987495
ENSMUSG00000000275,69.74545995832094
ENSMUSG00000000276,9.720154807978565
ENSMUSG00000000278,90.2649598094671
ENSMUSG00000000282,45.33343256921703
ENSMUSG00000000290,90.83804703780886
ENSMUSG00000000295,44.50729383745162
ENSMUSG00000000303,42.56475141411134
ENSMUSG00000000308,44.0979458172075
ENSMUSG00000000318,88.31497469484965
ENSMUSG00000000325,14.453706460256027
ENSMUSG00000000326,97.93093182494789
ENSMUSG00000000339,44.65614766299494
ENSMUSG00000000340,32.16731169991069
ENSMUSG00000000346,95.8841917237273
ENSMUSG00000000355,81.47514141113426
ENSMUSG00000000374,35.315570110151825
ENSMUSG00000000378,84.3852337005061
ENSMUSG00000000384,44.157487347424826
ENSMUSG00000000385,14.133670735337898
ENSMUSG00000000386,23.13188448943138
ENSMUSG00000000392,13.247990473355165
ENSMUSG00000000399,69.44030961595713
ENSMUSG00000000409,39.40905031259304
ENSMUSG00000000420,85.82167311699911
ENSMUSG00000000439,42.27448645430187
ENSMUSG00000000440,16.42601964870497
ENSMUSG00000000441,71.7326585293242
ENSMUSG00000000486,56.87704674010122
ENSMUSG00000000489,84.60851443882108
ENSMUSG00000000530,83.22417386126824
ENSMUSG00000000532,13.322417386126823
ENSMUSG00000000538,30.61178922298303
ENSMUSG00000000544,17.72849062220899
ENSMUSG00000000552,65.49568323905925
ENSMUSG00000000555,20.266448347722537
ENSMUSG00000000560,5.9615957130098245
ENSMUSG00000000561,43.74069663590354
ENSMUSG00000000562,28.89997022923489
ENSMUSG00000000563,95.52694254242334
ENSMUSG00000000567,16.35903542721048
ENSMUSG00000000568,70.49717177731468
ENSMUSG00000000579,88.48615659422447
ENSMUSG00000000581,81.57189639773742
ENSMUSG00000000594,97.50669842214946
ENSMUSG00000000600,92.26704376302472
ENSMUSG00000000605,73.35516522774635
ENSMUSG00000000628,78.37153914855611
ENSMUSG00000000631,65.32450133968443
ENSMUSG00000000673,20.51205715986901
ENSMUSG00000000682,99.27061625483775
ENSMUSG00000000686,17.54986603155701
ENSMUSG00000000693,70.00595415302173
ENSMUSG00000000708,64.01458767490324
ENSMUSG00000000711,74.7171777314677
ENSMUSG00000000732,68.40577552843108
ENSMUSG00000000738,46.7103304554927
ENSMUSG00000000739,34.77969633819589
ENSMUSG00000000740,99.70973504019052
ENSMUSG00000000743,80.21732658529325
ENSMUSG00000000751,50.8931229532599
ENSMUSG00000000753,64.70675796367966
ENSMUSG00000000759,38.44150044656148
ENSMUSG00000000776,47.037808871688
ENSMUSG00000000782,12.838642453111046
ENSMUSG00000000787,89.97469484965764
ENSMUSG00000000791,7.226853230128014
ENSMUSG00000000804,46.31586781780292
ENSMUSG00000000805,24.50133968442989
ENSMUSG00000000811,9.49687406966359
ENSMUSG00000000823,19.596606132777612
ENSMUSG00000000826,87.33253944626377
ENSMUSG00000000827,82.79249776719261
ENSMUSG00000000838,50.0223280738315
ENSMUSG00000000861,51.51830902054183
ENSMUSG00000000869,21.621018160166717
ENSMUSG00000000876,74.29294432866924
ENSMUSG00000000881,2.597499255730872
ENSMUSG00000000884,24.367371241440907
ENSMUSG00000000902,77.6570407859482
ENSMUSG00000000903,59.697826734147064
ENSMUSG00000000915,13.657338493599285
ENSMUSG00000000916,23.39982137540935
ENSMUSG00000000934,7.249181303959512
ENSMUSG00000000948,30.864840726406666
ENSMUSG00000000957,80.3364096457279
ENSMUSG00000000958,78.31944030961596
ENSMUSG00000000959,78.75111640369158
ENSMUSG00000000976,65.30217326585294
ENSMUSG00000000982,91.93212265555225
ENSMUSG00000001016,99.94045846978268
ENSMUSG00000001017,78.65436141708841
ENSMUSG00000001018,75.87823757070556
ENSMUSG00000001025,78.08127418874665
ENSMUSG00000001029,28.877642155403393
ENSMUSG00000001034,44.388210777016965
ENSMUSG00000001036,20.593926763917832
ENSMUSG00000001039,13.50848466805597
ENSMUSG00000001052,59.415004465614764
ENSMUSG00000001053,9.615957130098243
ENSMUSG00000001054,53.133373027686815
ENSMUSG00000001056,86.13426615064007
ENSMUSG00000001062,80.70854420958618
