gen_name,fibroblast of dermis
ENSG00000000003,68.83325460557393
ENSG00000000419,81.17146905999056
ENSG00000000457,57.340576287198864
ENSG00000000460,61.398205007085494
ENSG00000000938,45.328294756731225
ENSG00000000971,77.68540387340576
ENSG00000001036,93.61832782239019
ENSG00000001084,47.49173358526216
ENSG00000001167,63.2262635805385
ENSG00000001460,73.66084081247047
ENSG00000001461,95.2479924421351
ENSG00000001497,82.89088332546056
ENSG00000001561,38.44119036372225
ENSG00000001617,27.113840340103923
ENSG00000001626,23.467170524326878
ENSG00000001629,84.37883797827114
ENSG00000001630,83.4860651865848
ENSG00000001631,70.79829948039679
ENSG00000002016,62.54605573925366
ENSG00000002079,19.324515824279644
ENSG00000002330,88.52149267831837
ENSG00000002549,92.92867264997639
ENSG00000002586,98.63486065186585
ENSG00000002587,18.937175247992442
ENSG00000002726,18.252243741143126
ENSG00000002745,57.33112895606991
ENSG00000002746,47.66650921114785
ENSG00000002822,80.03778932451583
ENSG00000002834,97.49645725082664
ENSG00000002919,73.49551251771375
ENSG00000002933,34.780349551251774
ENSG00000003056,89.27727916863486
ENSG00000003096,20.67076051015588
ENSG00000003137,31.818611242324042
ENSG00000003147,32.07368918280586
ENSG00000003249,31.7855455833727
ENSG00000003393,62.44213509683515
ENSG00000003400,59.5701464336325
ENSG00000003402,95.3094000944733
ENSG00000003436,84.22295701464336
ENSG00000003509,59.25838450637695
ENSG00000003756,92.97590930562116
ENSG00000003987,38.01133679735475
ENSG00000003989,7.921587151629665
ENSG00000004059,96.40529050543222
ENSG00000004139,52.97590930562116
ENSG00000004142,95.49362305148796
ENSG00000004399,74.15682569674067
ENSG00000004455,91.8516769012754
ENSG00000004468,47.907416154936236
ENSG00000004478,82.52716107699575
ENSG00000004487,66.66509211147851
ENSG00000004534,89.12612187057157
ENSG00000004660,61.25649504015116
ENSG00000004700,84.44496929617384
ENSG00000004766,58.020784128483704
ENSG00000004776,89.32923948984411
ENSG00000004777,44.59612659423713
ENSG00000004779,84.73783656117146
ENSG00000004799,23.405762871988664
ENSG00000004809,34.41190363722249
ENSG00000004838,39.19697685403874
ENSG00000004846,36.86820973075106
ENSG00000004848,1.0439300897496457
ENSG00000004864,54.89371752479924
ENSG00000004866,70.57628719886631
ENSG00000004897,92.59801606046292
ENSG00000004939,31.856400566839866
ENSG00000004961,75.99905526688711
ENSG00000004975,72.80113367973547
ENSG00000005007,62.53660840812471
ENSG00000005020,68.5167690127539
ENSG00000005022,97.53897024090693
ENSG00000005059,81.84695323571091
ENSG00000005073,51.029759093056214
ENSG00000005075,88.88049126121871
ENSG00000005100,57.04770902220123
ENSG00000005108,18.1294284364667
ENSG00000005156,65.74870099196977
ENSG00000005175,60.089749645725085
ENSG00000005187,41.870571563533304
ENSG00000005189,61.15729806329712
ENSG00000005194,84.46386395843174
ENSG00000005206,81.01558809636278
ENSG00000005238,79.99527633443552
ENSG00000005243,91.3982050070855
ENSG00000005249,37.12328767123287
ENSG00000005302,70.77940481813889
ENSG00000005339,75.69201700519604
ENSG00000005379,36.59896079357581
ENSG00000005421,15.43693906471422
ENSG00000005436,59.371752479924425
ENSG00000005448,90.75106282475201
ENSG00000005469,54.09069437883798
ENSG00000005471,38.483703353802554
ENSG00000005483,90.33065658951345
ENSG00000005486,91.12895606991025
ENSG00000005513,30.52432687765706
ENSG00000005700,84.78979688238073
ENSG00000005801,64.17572035899857
ENSG00000005810,79.35758148323099
ENSG00000005812,61.47378365611714
ENSG00000005844,25.276334435521964
ENSG00000005882,85.60226735947096
ENSG00000005884,80.04723665564478
ENSG00000005889,85.5692017005196
ENSG00000005893,94.94567784600851
ENSG00000005961,24.83703353802551
ENSG00000005981,46.580066131317906
ENSG00000006007,83.84978743504959
ENSG00000006015,85.27633443552196
ENSG00000006016,64.27019367028815
ENSG00000006025,55.559754369390646
ENSG00000006042,91.31790269248937
ENSG00000006062,55.81955597543694
ENSG00000006071,30.59518186112423
ENSG00000006116,5.3046764289088335
ENSG00000006118,50.288143599433155
ENSG00000006125,89.56542276806803
